id,x,tx,T,predict
CS3779,17,1271,1284,4.766369097220633
CS4530,18,1277,1305,4.833128190859394
CS4637,17,1246,1321,4.722104145263313
CS4563,23,1311,1311,5.285055592475574
CS5474,16,1228,1323,4.628166480218326
CS5129,23,1268,1289,5.314475760996546
CS4802,15,1262,1305,4.557176952178204
CS5708,19,1226,1307,4.922630830099903
CS3732,17,1203,1298,4.749522944337761
CS2781,13,888,1308,4.369905676479302
CS5983,14,1274,1321,4.4472611187990525
CS4993,24,1227,1309,5.37960780269931
CS3177,16,1260,1302,4.652678266434881
CS5499,11,1276,1287,4.208331737501375
CS2345,26,1304,1318,5.550812956799615
CS3074,20,997,1317,5.001969112656182
CS2309,19,1308,1310,4.918913853201725
CS3702,28,1274,1319,5.732739723642462
CS4282,14,1210,1297,4.474213587918089
CS1981,13,1266,1320,4.356740310610035
CS1951,19,1273,1312,4.916438985492274
CS3104,16,1237,1318,4.633979164363648
CS2305,19,1186,1314,4.913966606905523
CS4703,19,1095,1316,4.911496713688168
CS3001,14,1155,1314,4.455088653356666
CS6101,19,1225,1285,4.950061261959254
CS5531,22,1291,1324,5.176278146580571
CS5650,18,1138,1306,4.831910499820473
CS5952,17,1289,1321,4.722104145263313
CS5467,22,1247,1320,5.181476397274144
CS1316,23,1291,1324,5.267823555537367
CS3607,18,1279,1286,4.856381492483899
CS4612,17,1252,1299,4.748324203238054
CS5546,13,1270,1306,4.372107643724143
CS4375,17,1177,1316,4.728037790082786
CS2860,20,1191,1288,5.038682277348076
CS4550,23,1246,1311,5.285055592475574
CS2748,22,1273,1306,5.199752784697537
CS5291,22,1291,1319,5.182777591706131
CS5010,21,1261,1281,5.1401684343954095
CS4952,24,1247,1283,5.415052944464769
CS1783,16,1281,1304,4.650332629957343
CS3251,16,1310,1310,4.64330988965809
CS3261,15,1042,1287,4.577943348963282
CS1192,16,1241,1291,4.665621682107132
CS3817,27,1274,1325,5.632592484563194
CS4698,16,1192,1284,4.673895963237211
CS5185,24,1255,1324,5.359368964494156
CS4048,27,1300,1304,5.662408892060654
CS2138,21,1282,1312,5.100082517561879
CS1754,16,1318,1321,4.630489803108557
CS4912,16,1070,1321,4.630489803108557
CS4885,20,1212,1319,4.999456881060673
CS2164,16,1104,1294,4.662084523052481
CS5827,17,1278,1287,4.762749154694238
CS5290,20,1250,1322,4.995693261722705
CS2971,15,1196,1309,4.552587756814925
CS3408,18,1228,1283,4.860073535947237
CS4027,20,1253,1313,5.007001157858985
CS2622,19,1285,1321,4.905332829572827
CS4149,18,1195,1308,4.829476957575491
CS2389,18,1271,1296,4.84411509135068
CS4836,21,1294,1297,5.119400561421893
CS3450,22,1194,1286,5.226086698012086
CS4371,13,1206,1292,4.387583769576519
CS3739,23,1072,1294,5.307760633717515
CS4657,14,1071,1286,4.486676286955703
CS4069,16,1199,1307,4.646818606441115
CS4784,22,1208,1311,5.193210721349618
CS4862,25,1241,1316,5.461873484504301
CS2798,20,1317,1319,4.999456881060673
CS3442,23,1276,1319,5.274437947028848
CS6048,12,1020,1307,4.279068974896056
CS5207,15,1299,1316,4.544578866477407
CS4403,16,1219,1307,4.646818606441115
CS5747,15,1270,1301,4.5617754090721565
CS3608,16,1254,1296,4.6597293951052565
CS4573,18,1274,1306,4.831910499820473
CS4948,15,1244,1289,4.5756266301520245
CS1616,17,1278,1296,4.751922243227968
CS5557,20,1297,1298,5.025961841093709
CS4914,20,1248,1306,5.0158316422590055
CS1891,13,1076,1310,4.3677059261144615
CS2399,23,1190,1309,5.287716686489935
CS3112,19,1270,1315,4.912731349859958
CS2727,22,1295,1302,5.204998314760223
CS1866,24,1279,1317,5.368794771592223
CS1849,9,1248,1325,3.985188307694611
CS5436,17,1190,1325,4.717367941858433
CS1780,15,1291,1294,4.569845078671769
