id,age,gender,country,city,job_title,job_industry,wealth_segment
34,,,Australia,,Legal Assistant,IT,Affluent Customer
144,,,Australia,,Environmental Tech,IT,Mass Customer
168,,,Australia,,General Manager,IT,Affluent Customer
267,,,Australia,,,IT,High Net Worth
290,,,Australia,,Senior Sales Associate,IT,Mass Customer
451,,,Australia,,Quality Control Specialist,IT,High Net Worth
453,,,Australia,,Assistant Professor,IT,High Net Worth
454,,,Australia,,Research Nurse,Health,Affluent Customer
480,,,Australia,,Registered Nurse,Health,Mass Customer
513,,,Australia,,Tax Accountant,IT,Mass Customer
526,,,Australia,,Social Worker,Health,Mass Customer
548,,,Australia,,,IT,High Net Worth
582,,,Australia,,Staff Scientist,IT,Affluent Customer
599,,,Australia,,Senior Financial Analyst,Financial Services,Mass Customer
680,,,Australia,,,IT,High Net Worth
685,,,Australia,,Senior Developer,IT,Mass Customer
799,,,Australia,,Programmer I,IT,Mass Customer
839,,,Australia,,Structural Analysis Engineer,IT,Mass Customer
883,,,Australia,,Recruiter,IT,Mass Customer
892,,,Australia,,Office Assistant II,IT,Mass Customer
950,,,Australia,,Recruiter,IT,High Net Worth
975,,,Australia,,Automation Specialist IV,IT,Mass Customer
983,,,Australia,,,IT,Affluent Customer
996,,,Australia,,Assistant Manager,IT,Mass Customer
1038,,,Australia,,Engineer I,Manufacturing,Mass Customer
1044,,,Australia,,Food Chemist,Health,High Net Worth
1082,,,Australia,,Financial Analyst,Financial Services,Mass Customer
1174,,,Australia,,Executive Secretary,IT,Mass Customer
1210,,,Australia,,Programmer II,IT,Mass Customer
1244,,,Australia,,Financial Analyst,Financial Services,Mass Customer
1351,,,Australia,,Office Assistant IV,IT,High Net Worth
1477,,,Australia,,Actuary,Financial Services,Mass Customer
1509,,,Australia,,Computer Systems Analyst I,IT,High Net Worth
1583,,,Australia,,Geologist IV,IT,Mass Customer
1628,,,Australia,,Assistant Manager,IT,Mass Customer
1683,,,Australia,,Budget/Accounting Analyst I,IT,Mass Customer
1740,,,Australia,,Research Associate,IT,Mass Customer
1773,,,Australia,,,IT,Mass Customer
1780,,,Australia,,Research Associate,IT,Mass Customer
1806,,,Australia,,Software Test Engineer IV,IT,Mass Customer
