customer_id,transaction_date,transaction_amount
CS5295,11/02/2013,35.00
CS4768,15/03/2015,39.00
CS2122,26/02/2013,52.00
CS1217,16/11/2011,99.00
CS1850,20/11/2013,78.00
CS5539,26/03/2014,81.00
CS2724,06/02/2012,93.00
CS5902,30/01/2015,89.00
CS6040,08/01/2013,76.00
CS3802,20/08/2013,75.00
CS3494,02/07/2013,94.00
CS3780,25/03/2013,80.00
CS1171,03/11/2012,59.00
CS2892,12/05/2013,43.00
CS5552,29/12/2014,78.00
CS6043,15/01/2014,98.00
CS4147,08/07/2013,81.00
CS4655,30/12/2013,93.00
CS3904,20/07/2014,103.00
CS4102,09/07/2011,96.00
CS2086,05/03/2013,75.00
CS6085,09/01/2013,49.00
CS1328,06/02/2013,54.00
CS4564,27/03/2012,48.00
CS5910,01/01/2012,98.00
CS2748,23/03/2013,37.00
CS5147,29/04/2013,72.00
CS1770,02/11/2012,83.00
CS3510,24/10/2011,81.00
CS2509,05/12/2011,105.00
CS2859,27/02/2015,77.00
CS1512,21/02/2015,71.00
CS4148,22/08/2013,48.00
CS1735,31/03/2012,70.00
CS1588,27/01/2012,70.00
CS5514,09/01/2013,36.00
CS5933,07/10/2013,48.00
CS2797,06/03/2014,87.00
CS5313,02/12/2012,88.00
CS5966,09/03/2012,39.00
CS5211,18/05/2014,51.00
CS1511,13/01/2015,47.00
CS6087,24/11/2014,37.00
CS5909,04/02/2012,80.00
CS2845,08/03/2013,105.00
CS1433,05/11/2012,78.00
CS4897,12/04/2014,45.00
CS2296,28/12/2012,79.00
CS1494,29/06/2013,59.00
CS3688,19/06/2014,55.00
CS2287,23/12/2011,94.00
CS3779,26/06/2011,69.00
CS1423,05/06/2014,78.00
CS2501,14/11/2012,59.00
CS3434,22/02/2013,98.00
CS2662,31/08/2014,88.00
CS2209,12/03/2012,35.00
CS4530,05/06/2011,40.00
CS2848,04/02/2013,53.00
CS2596,19/09/2011,55.00
CS4421,20/05/2012,86.00
CS4905,13/04/2012,93.00
CS5704,04/12/2011,79.00
CS2403,27/07/2014,94.00
CS5480,28/01/2012,63.00
