customer_id,account_id,date_key,total_amount,num_trans,first_transaction,last_transaction
2950,training,1_2017,53.62,1,9917,9917
3120,training,2_2017,388.92,1,10002,10002
402,training,4_2017,2736.94,4,10134,10169
3135,training,3_2017,381.10,1,10104,10104
787,training,4_2017,2340.04,4,9952,10150
2339,training,1_2017,1205.05,3,9897,9928
1542,training,2_2017,644.02,2,9972,10010
2459,training,3_2017,3374.66,5,10048,10102
1305,training,3_2017,380.74,1,10083,10083
3262,training,3_2017,161.60,1,10103,10103
1986,training,1_2017,517.45,2,9876,9878
2783,training,1_2017,1777.80,4,9866,9936
1243,training,1_2017,2144.39,6,9879,9922
2717,training,3_2017,3332.91,4,10046,10114
247,training,2_2017,1140.93,2,10023,10029
2961,training,4_2017,1181.74,4,10144,10223
2426,training,2_2017,818.01,1,9954,9954
1842,training,2_2017,2259.10,3,9984,10014
2268,training,2_2017,947.28,2,9957,9958
3002,training,1_2017,1424.33,2,9867,9889
1582,training,4_2017,1737.10,3,10042,10170
595,training,2_2017,1257.26,3,9999,10041
2001,training,2_2017,2978.55,5,9959,10022
515,training,4_2017,2076.80,3,10152,10211
2822,training,2_2017,745.88,3,9983,10023
2596,training,1_2017,596.55,1,9871,9871
2666,training,2_2017,973.39,2,9962,9969
76,training,4_2017,2584.62,4,10178,10224
3368,training,4_2017,2520.27,4,10138,10196
1173,training,1_2017,513.85,1,9935,9935
2810,training,3_2017,1595.38,3,10053,10109
3214,training,1_2017,1245.23,2,9910,9914
1272,training,1_2017,2577.28,3,9909,9940
2003,training,1_2017,1531.42,1,9920,9920
2171,training,3_2017,376.84,1,10093,10093
3356,training,3_2017,2024.32,2,10049,10099
1040,training,1_2017,1854.65,2,9870,9935
2916,training,4_2017,2639.98,3,10177,10201
427,training,3_2017,236.11,2,10048,10116
2448,training,4_2017,1360.17,3,10148,10219
2570,training,2_2017,108.76,1,9989,9989
3398,training,2_2017,675.03,1,9995,9995
488,training,1_2017,1350.40,3,9908,9948
165,training,4_2017,935.90,4,10153,10217
2787,training,2_2017,3704.03,4,9956,10031
3053,training,2_2017,804.41,2,9967,10032
475,training,2_2017,154.40,1,9988,9988
1305,training,2_2017,1520.32,3,9958,10022
1251,training,2_2017,125.07,1,10029,10029
3103,training,2_2017,1107.56,3,9959,10008
3108,training,1_2017,1128.28,2,9939,9944
857,training,4_2017,1643.15,2,10192,10201
3455,training,4_2017,1087.25,2,9862,10216
2549,training,1_2017,1999.62,2,9901,9941
3140,training,3_2017,290.41,1,10122,10122
3406,training,4_2017,1633.00,2,10146,10179
2294,training,3_2017,2886.63,3,10103,10133
1031,training,4_2017,75.26,1,10179,10179
993,training,1_2017,1081.25,2,9907,9925
3473,training,4_2017,2927.03,2,10141,10213
