customer_id,account_id,date_key,total_amount,num_trans,first_transaction,last_transaction
CS3779,training,2_2011,69.00,1,7846,7846
CS4530,training,2_2011,40.00,1,7825,7825
CS4637,training,2_2011,166.00,2,7809,7836
CS4563,training,2_2011,101.00,1,7819,7819
CS5474,training,2_2011,166.00,2,7807,7847
CS5129,training,2_2011,102.00,1,7841,7841
CS4802,training,2_2011,88.00,2,7825,7845
CS5708,training,2_2011,89.00,1,7823,7823
CS3732,training,2_2011,83.00,1,7832,7832
CS2781,training,2_2011,106.00,2,7822,7833
CS5983,training,2_2011,47.00,1,7809,7809
CS4993,training,2_2011,86.00,1,7821,7821
CS3177,training,2_2011,87.00,1,7828,7828
CS5499,training,2_2011,59.00,1,7843,7843
CS2345,training,2_2011,207.00,3,7812,7834
CS3074,training,2_2011,451.00,5,7813,7848
CS2309,training,2_2011,60.00,1,7820,7820
CS3702,training,2_2011,142.00,2,7811,7845
CS4282,training,2_2011,46.00,1,7833,7833
CS1981,training,2_2011,71.00,1,7810,7810
CS1951,training,2_2011,150.00,2,7818,7837
CS3104,training,2_2011,182.00,3,7812,7847
CS2305,training,2_2011,249.00,3,7816,7844
CS4703,training,2_2011,53.00,1,7814,7814
CS3001,training,2_2011,162.00,2,7816,7839
CS6101,training,2_2011,71.00,1,7845,7845
CS5531,training,2_2011,118.00,2,7806,7839
CS5650,training,2_2011,108.00,2,7824,7834
CS5952,training,2_2011,138.00,2,7809,7825
CS5467,training,2_2011,67.00,1,7810,7810
CS1316,training,2_2011,160.00,3,7806,7839
CS3607,training,2_2011,150.00,2,7844,7846
CS4612,training,2_2011,92.00,2,7831,7835
CS5546,training,2_2011,157.00,2,7824,7849
CS4375,training,2_2011,129.00,2,7814,7840
CS2860,training,2_2011,139.00,2,7842,7844
CS4550,training,2_2011,103.00,1,7819,7819
CS2748,training,2_2011,100.00,1,7824,7824
CS5291,training,2_2011,36.00,1,7811,7811
CS5010,training,2_2011,73.00,1,7849,7849
CS4952,training,2_2011,74.00,1,7847,7847
CS1783,training,2_2011,181.00,2,7826,7846
CS3251,training,2_2011,60.00,1,7820,7820
CS3261,training,2_2011,44.00,1,7843,7843
CS1192,training,2_2011,105.00,1,7839,7839
CS3817,training,2_2011,91.00,2,7805,7827
CS4698,training,2_2011,100.00,1,7846,7846
CS5185,training,2_2011,91.00,2,7806,7845
CS4048,training,2_2011,83.00,1,7826,7826
CS2138,training,2_2011,171.00,2,7818,7847
CS1754,training,2_2011,158.00,2,7809,7823
CS4912,training,2_2011,121.00,2,7809,7811
CS4885,training,2_2011,225.00,3,7811,7837
CS2164,training,2_2011,127.00,2,7836,7838
CS5827,training,2_2011,37.00,1,7843,7843
CS5290,training,2_2011,162.00,3,7808,7844
CS2971,training,2_2011,57.00,1,7821,7821
CS3408,training,2_2011,62.00,1,7847,7847
CS4027,training,2_2011,195.00,3,7817,7836
CS2622,training,2_2011,35.00,1,7809,7809
CS4149,training,2_2011,110.00,2,7822,7842
CS2389,training,2_2011,74.00,1,7834,7834
CS4836,training,2_2011,157.00,2,7833,7846
CS3450,training,2_2011,173.00,2,7844,7846
CS4371,training,2_2011,117.00,2,7838,7845
CS3739,training,2_2011,55.00,1,7836,7836
CS4657,training,2_2011,53.00,1,7844,7844
CS4069,training,2_2011,128.00,2,7823,7830
CS4784,training,2_2011,275.00,3,7819,7845
CS4862,training,2_2011,77.00,2,7814,7828
CS2798,training,2_2011,140.00,2,7811,7817
CS3442,training,2_2011,165.00,2,7811,7811
CS6048,training,2_2011,60.00,1,7823,7823
CS5207,training,2_2011,125.00,2,7814,7846
CS4403,training,2_2011,60.00,1,7823,7823
CS5747,training,2_2011,124.00,2,7829,7841
CS3608,training,2_2011,59.00,1,7834,7834
CS4573,training,2_2011,104.00,1,7824,7824
CS4948,training,2_2011,38.00,1,7841,7841
CS1616,training,2_2011,35.00,1,7834,7834
CS5557,training,2_2011,210.00,3,7832,7843
CS4914,training,2_2011,74.00,1,7824,7824
CS1891,training,2_2011,262.00,3,7820,7835
CS2399,training,2_2011,172.00,2,7821,7840
CS3112,training,2_2011,35.00,1,7815,7815
CS2727,training,2_2011,145.00,2,7828,7843
CS1866,training,2_2011,175.00,2,7813,7847
CS1849,training,2_2011,79.00,1,7805,7805
CS5436,training,2_2011,96.00,1,7805,7805
CS1780,training,2_2011,79.00,1,7836,7836
CS3775,training,2_2011,116.00,2,7807,7821
CS3968,training,2_2011,264.00,3,7815,7849
CS5136,training,2_2011,79.00,1,7818,7818
CS5604,training,2_2011,67.00,1,7836,7836
CS3076,training,2_2011,94.00,1,7813,7813
CS2999,training,2_2011,44.00,1,7819,7819
CS2075,training,2_2011,95.00,1,7810,7810
CS1301,training,2_2011,167.00,2,7821,7833
CS4873,training,2_2011,122.00,2,7827,7840
CS2620,training,2_2011,300.00,4,7807,7839
CS1975,training,2_2011,103.00,1,7837,7837
CS3018,training,2_2011,244.00,3,7814,7836
CS1249,training,2_2011,267.00,3,7827,7841
CS3155,training,2_2011,186.00,2,7825,7828
CS3747,training,2_2011,127.00,2,7809,7824
CS3682,training,2_2011,40.00,1,7816,7816
CS4381,training,2_2011,73.00,1,7849,7849
CS3735,training,2_2011,51.00,1,7828,7828
CS2652,training,2_2011,118.00,2,7834,7849
CS3852,training,2_2011,223.00,3,7806,7815
CS5049,training,2_2011,44.00,1,7823,7823
CS2134,training,2_2011,81.00,1,7811,7811
CS2959,training,2_2011,79.00,1,7814,7814
CS5655,training,2_2011,192.00,3,7823,7843
CS2001,training,2_2011,94.00,2,7820,7828
CS1477,training,2_2011,96.00,1,7814,7814
CS1344,training,2_2011,41.00,1,7831,7831
CS2484,training,2_2011,41.00,1,7825,7825
CS3011,training,2_2011,204.00,3,7810,7827
CS5012,training,2_2011,118.00,2,7805,7845
CS4362,training,2_2011,215.00,3,7811,7835
CS5484,training,2_2011,137.00,2,7832,7844
CS1946,training,2_2011,103.00,1,7836,7836
CS5311,training,2_2011,101.00,2,7821,7823
CS1445,training,2_2011,94.00,1,7805,7805
CS1258,training,2_2011,95.00,1,7835,7835
CS2344,training,2_2011,119.00,2,7810,7833
CS5268,training,2_2011,180.00,2,7837,7845
CS2594,training,2_2011,245.00,3,7805,7828
CS1311,training,2_2011,92.00,2,7829,7849
CS6027,training,2_2011,83.00,2,7816,7829
CS2537,training,2_2011,76.00,1,7829,7829
CS4133,training,2_2011,98.00,1,7834,7834
CS5905,training,2_2011,63.00,1,7830,7830
CS5197,training,2_2011,89.00,1,7807,7807
CS1634,training,2_2011,87.00,1,7846,7846
CS5236,training,2_2011,140.00,2,7807,7835
CS2046,training,2_2011,90.00,1,7823,7823
CS5652,training,2_2011,91.00,2,7821,7823
CS2008,training,2_2011,104.00,2,7826,7828
CS3332,training,2_2011,73.00,1,7823,7823
CS3624,training,2_2011,114.00,2,7806,7811
CS3045,training,2_2011,82.00,1,7844,7844
CS3003,training,2_2011,43.00,1,7837,7837
CS5996,training,2_2011,236.00,3,7811,7837
CS5815,training,2_2011,176.00,2,7805,7839
CS3159,training,2_2011,78.00,1,7832,7832
CS5441,training,2_2011,92.00,1,7842,7842
CS2689,training,2_2011,77.00,1,7827,7827
CS4254,training,2_2011,162.00,2,7805,7815
CS1504,training,2_2011,91.00,2,7813,7836
CS2349,training,2_2011,101.00,1,7805,7805
CS5016,training,2_2011,198.00,3,7806,7833
CS2747,training,2_2011,74.00,1,7821,7821
CS1791,training,2_2011,74.00,1,7805,7805
CS5756,training,2_2011,141.00,2,7806,7836
CS3085,training,2_2011,68.00,1,7825,7825
CS4396,training,2_2011,202.00,3,7827,7840
CS1695,training,2_2011,190.00,3,7815,7834
CS2485,training,2_2011,75.00,1,7840,7840
CS6079,training,2_2011,59.00,1,7835,7835
CS4664,training,2_2011,305.00,4,7818,7829
CS1129,training,2_2011,83.00,1,7819,7819
CS5289,training,2_2011,107.00,2,7808,7830
CS5184,training,2_2011,97.00,1,7821,7821
CS5238,training,2_2011,118.00,2,7815,7821
CS3164,training,2_2011,42.00,1,7841,7841
CS4804,training,2_2011,44.00,1,7814,7814
CS2470,training,2_2011,56.00,1,7845,7845
CS5226,training,2_2011,63.00,1,7835,7835
CS3264,training,2_2011,103.00,1,7835,7835
CS3469,training,2_2011,78.00,1,7825,7825
CS3020,training,2_2011,124.00,3,7809,7827
CS2060,training,2_2011,44.00,1,7805,7805
CS1454,training,2_2011,221.00,3,7811,7831
CS5992,training,2_2011,63.00,1,7826,7826
CS3373,training,2_2011,123.00,2,7821,7825
CS1161,training,2_2011,41.00,1,7842,7842
CS1451,training,2_2011,100.00,1,7829,7829
CS2140,training,2_2011,98.00,1,7842,7842
CS3986,training,2_2011,158.00,2,7819,7845
CS4189,training,2_2011,146.00,2,7828,7846
CS3414,training,2_2011,269.00,4,7818,7849
CS1326,training,2_2011,119.00,2,7824,7842
CS1485,training,2_2011,72.00,1,7843,7843
CS1467,training,2_2011,99.00,1,7847,7847
CS5101,training,2_2011,197.00,2,7805,7815
CS4745,training,2_2011,159.00,2,7817,7836
CS3274,training,2_2011,236.00,3,7825,7845
CS3377,training,2_2011,286.00,3,7812,7844
CS2119,training,2_2011,84.00,1,7807,7807
CS4484,training,2_2011,63.00,1,7832,7832
CS5801,training,2_2011,72.00,1,7843,7843
CS1568,training,2_2011,263.00,3,7820,7846
CS2512,training,2_2011,96.00,1,7810,7810
CS5488,training,2_2011,64.00,1,7838,7838
CS2307,training,2_2011,84.00,1,7820,7820
CS1935,training,2_2011,178.00,3,7810,7838
CS1645,training,2_2011,128.00,2,7809,7830
CS2703,training,2_2011,211.00,3,7832,7844
CS1630,training,2_2011,56.00,1,7830,7830
CS1187,training,2_2011,141.00,2,7807,7836
CS4670,training,2_2011,171.00,3,7805,7848
CS5023,training,2_2011,104.00,1,7810,7810
CS1365,training,2_2011,85.00,1,7807,7807
CS3674,training,2_2011,81.00,1,7841,7841
CS4884,training,2_2011,174.00,3,7833,7845
CS5079,training,2_2011,40.00,1,7842,7842
CS1272,training,2_2011,64.00,1,7826,7826
CS2799,training,2_2011,37.00,1,7822,7822
CS4935,training,2_2011,205.00,3,7817,7837
CS3073,training,2_2011,232.00,4,7807,7846
CS2761,training,2_2011,54.00,1,7833,7833
CS5539,training,2_2011,130.00,2,7816,7825
CS5813,training,2_2011,126.00,2,7809,7838
CS5921,training,2_2011,127.00,2,7811,7820
CS1933,training,2_2011,48.00,1,7834,7834
CS1699,training,2_2011,78.00,1,7835,7835
CS2623,training,2_2011,65.00,1,7807,7807
CS1313,training,2_2011,92.00,1,7840,7840
CS5008,training,2_2011,131.00,2,7806,7848
CS1751,training,2_2011,70.00,1,7812,7812
CS1212,training,2_2011,174.00,3,7825,7836
CS3457,training,2_2011,151.00,2,7808,7843
CS3392,training,2_2011,70.00,1,7832,7832
CS6096,training,2_2011,128.00,2,7813,7822
CS3906,training,2_2011,52.00,1,7807,7807
CS1571,training,2_2011,143.00,2,7826,7838
CS4628,training,2_2011,60.00,1,7818,7818
CS1567,training,2_2011,101.00,1,7811,7811
CS2538,training,2_2011,44.00,1,7838,7838
CS1705,training,2_2011,99.00,1,7817,7817
CS3637,training,2_2011,74.00,1,7824,7824
CS5854,training,2_2011,204.00,2,7814,7841
CS1611,training,2_2011,101.00,1,7825,7825
CS1957,training,2_2011,125.00,2,7829,7838
CS4453,training,2_2011,202.00,3,7823,7849
CS6037,training,2_2011,150.00,3,7817,7846
CS6109,training,2_2011,115.00,2,7829,7844
CS4651,training,2_2011,101.00,2,7813,7817
CS2577,training,2_2011,47.00,1,7809,7809
CS4768,training,2_2011,151.00,2,7809,7838
CS1827,training,2_2011,90.00,1,7816,7816
CS3174,training,2_2011,199.00,3,7819,7836
CS4429,training,2_2011,63.00,1,7843,7843
CS2834,training,2_2011,99.00,1,7812,7812
CS3948,training,2_2011,236.00,3,7831,7847
CS2842,training,2_2011,79.00,1,7831,7831
CS2267,training,2_2011,200.00,3,7807,7849
CS3546,training,2_2011,56.00,1,7832,7832
CS3064,training,2_2011,179.00,2,7826,7835
CS6078,training,2_2011,101.00,2,7813,7820
CS2608,training,2_2011,312.00,4,7819,7844
CS3429,training,2_2011,99.00,1,7814,7814
CS3938,training,2_2011,105.00,1,7844,7844
CS4579,training,2_2011,49.00,1,7824,7824
CS1387,training,2_2011,38.00,1,7806,7806
CS4766,training,2_2011,99.00,1,7816,7816
CS5219,training,2_2011,120.00,2,7833,7841
CS1938,training,2_2011,74.00,1,7816,7816
CS3005,training,2_2011,121.00,2,7807,7845
CS2871,training,2_2011,95.00,1,7819,7819
CS2049,training,2_2011,51.00,1,7818,7818
CS4629,training,2_2011,70.00,1,7818,7818
CS3548,training,2_2011,98.00,1,7828,7828
CS2826,training,2_2011,88.00,1,7829,7829
CS1406,training,2_2011,53.00,1,7809,7809
CS3072,training,2_2011,99.00,2,7840,7843
CS1237,training,2_2011,201.00,2,7828,7832
CS1574,training,2_2011,44.00,1,7816,7816
CS3100,training,2_2011,87.00,1,7810,7810
CS1247,training,2_2011,39.00,1,7845,7845
CS5476,training,2_2011,182.00,2,7818,7818
CS3597,training,2_2011,155.00,2,7809,7843
CS4503,training,2_2011,89.00,1,7835,7835
CS1424,training,2_2011,82.00,1,7849,7849
CS2257,training,2_2011,60.00,1,7818,7818
CS2004,training,2_2011,53.00,1,7826,7826
CS3466,training,2_2011,140.00,2,7841,7846
CS4245,training,2_2011,100.00,1,7837,7837
CS5947,training,2_2011,220.00,3,7807,7821
CS1610,training,2_2011,94.00,1,7807,7807
CS5087,training,2_2011,50.00,1,7846,7846
CS1203,training,2_2011,66.00,1,7835,7835
CS5133,training,2_2011,192.00,2,7808,7828
CS3831,training,2_2011,65.00,1,7809,7809
CS3080,training,2_2011,76.00,1,7808,7808
CS5679,training,2_2011,53.00,1,7826,7826
CS4683,training,2_2011,104.00,1,7848,7848
CS4337,training,2_2011,156.00,2,7811,7824
CS3374,training,2_2011,167.00,3,7810,7837
CS5335,training,2_2011,136.00,2,7840,7848
CS3465,training,2_2011,67.00,1,7816,7816
CS5438,training,2_2011,61.00,1,7846,7846
CS4930,training,2_2011,95.00,1,7848,7848
CS4896,training,2_2011,94.00,1,7843,7843
CS2924,training,2_2011,80.00,1,7825,7825
CS5310,training,2_2011,103.00,2,7813,7814
CS4408,training,2_2011,114.00,2,7817,7848
CS1947,training,2_2011,79.00,2,7817,7845
CS1221,training,2_2011,113.00,2,7827,7841
CS3227,training,2_2011,99.00,1,7839,7839
CS1393,training,2_2011,70.00,1,7834,7834
CS2813,training,2_2011,68.00,1,7823,7823
CS3849,training,2_2011,223.00,3,7808,7845
CS1815,training,2_2011,101.00,1,7815,7815
CS2560,training,2_2011,91.00,1,7812,7812
CS6020,training,2_2011,90.00,1,7816,7816
CS1540,training,2_2011,165.00,3,7833,7839
CS2043,training,2_2011,84.00,1,7839,7839
CS1743,training,2_2011,71.00,1,7830,7830
CS1956,training,2_2011,103.00,1,7828,7828
CS2870,training,2_2011,40.00,1,7835,7835
CS1661,training,2_2011,151.00,2,7836,7843
CS3635,training,2_2011,91.00,1,7817,7817
CS1653,training,2_2011,49.00,1,7817,7817
CS4834,training,2_2011,36.00,1,7813,7813
CS4195,training,2_2011,96.00,1,7820,7820
CS5210,training,2_2011,84.00,1,7807,7807
CS4305,training,2_2011,76.00,1,7837,7837
CS5349,training,2_2011,126.00,2,7825,7843
CS1905,training,2_2011,90.00,2,7823,7832
CS5937,training,2_2011,185.00,3,7816,7842
CS4673,training,2_2011,201.00,3,7811,7828
CS1481,training,2_2011,93.00,1,7830,7830
CS2258,training,2_2011,73.00,1,7820,7820
CS5216,training,2_2011,94.00,1,7808,7808
CS4374,training,2_2011,126.00,2,7810,7818
CS3030,training,2_2011,66.00,1,7843,7843
CS3413,training,2_2011,61.00,1,7849,7849
CS3304,training,2_2011,39.00,1,7810,7810
CS3557,training,2_2011,235.00,3,7812,7834
CS4713,training,2_2011,74.00,1,7828,7828
CS1475,training,2_2011,229.00,3,7813,7831
CS2017,training,2_2011,35.00,1,7806,7806
CS4781,training,2_2011,191.00,3,7808,7844
CS4820,training,2_2011,95.00,1,7813,7813
CS3721,training,2_2011,149.00,2,7826,7829
CS3035,training,2_2011,162.00,2,7834,7845
CS5325,training,2_2011,203.00,3,7820,7838
CS6004,training,2_2011,56.00,1,7807,7807
CS3289,training,2_2011,145.00,2,7836,7836
CS3561,training,2_2011,67.00,1,7815,7815
CS5990,training,2_2011,45.00,1,7807,7807
CS3978,training,2_2011,76.00,1,7811,7811
CS4077,training,2_2011,60.00,1,7810,7810
CS5754,training,2_2011,104.00,2,7832,7847
CS4082,training,2_2011,247.00,3,7810,7833
CS5625,training,2_2011,53.00,1,7823,7823
CS3730,training,2_2011,55.00,1,7823,7823
CS4734,training,2_2011,48.00,1,7816,7816
CS5402,training,2_2011,263.00,3,7820,7843
CS2988,training,2_2011,35.00,1,7830,7830
CS3160,training,2_2011,121.00,2,7837,7845
CS2223,training,2_2011,152.00,2,7830,7845
CS2424,training,2_2011,79.00,1,7819,7819
CS5629,training,2_2011,104.00,1,7825,7825
CS3253,training,2_2011,124.00,2,7815,7849
CS3844,training,2_2011,75.00,1,7839,7839
CS2155,training,2_2011,164.00,2,7835,7837
CS2807,training,2_2011,63.00,1,7818,7818
CS1682,training,2_2011,181.00,2,7817,7849
CS2097,training,2_2011,41.00,1,7807,7807
CS5783,training,2_2011,101.00,1,7841,7841
CS5907,training,2_2011,102.00,2,7809,7849
CS1124,training,2_2011,93.00,1,7847,7847
CS2077,training,2_2011,36.00,1,7824,7824
CS4877,training,2_2011,177.00,2,7811,7814
CS4721,training,2_2011,39.00,1,7832,7832
CS4363,training,2_2011,52.00,1,7823,7823
CS5512,training,2_2011,172.00,2,7810,7841
CS4821,training,2_2011,121.00,2,7824,7845
CS5711,training,2_2011,64.00,1,7818,7818
CS4147,training,2_2011,196.00,3,7819,7844
CS2752,training,2_2011,102.00,1,7846,7846
CS1670,training,2_2011,140.00,2,7817,7826
CS1566,training,2_2011,167.00,2,7810,7817
CS3165,training,2_2011,185.00,2,7812,7848
CS4663,training,2_2011,42.00,1,7820,7820
CS1537,training,2_2011,91.00,1,7844,7844
CS3212,training,2_2011,71.00,1,7816,7816
CS2059,training,2_2011,67.00,1,7824,7824
CS5548,training,2_2011,42.00,1,7847,7847
CS5125,training,2_2011,127.00,2,7807,7830
CS2472,training,2_2011,242.00,3,7815,7838
CS2687,training,2_2011,87.00,1,7838,7838
CS2269,training,2_2011,83.00,1,7848,7848
CS3584,training,2_2011,86.00,1,7835,7835
CS1681,training,2_2011,254.00,3,7810,7835
CS5459,training,2_2011,213.00,3,7833,7849
CS4932,training,2_2011,46.00,1,7842,7842
CS5355,training,2_2011,56.00,1,7845,7845
CS4331,training,2_2011,97.00,1,7848,7848
CS4257,training,2_2011,143.00,2,7820,7847
CS2413,training,2_2011,47.00,1,7838,7838
CS5961,training,2_2011,159.00,2,7810,7817
CS4775,training,2_2011,69.00,1,7815,7815
CS2212,training,2_2011,98.00,1,7843,7843
CS3889,training,2_2011,115.00,2,7825,7840
CS2655,training,2_2011,157.00,2,7827,7834
CS2438,training,2_2011,46.00,1,7826,7826
CS5660,training,2_2011,59.00,1,7820,7820
CS2554,training,2_2011,150.00,2,7815,7824
CS3647,training,2_2011,94.00,1,7811,7811
CS1927,training,2_2011,64.00,1,7808,7808
CS3606,training,2_2011,154.00,2,7815,7848
CS5741,training,2_2011,185.00,3,7835,7842
CS2415,training,2_2011,63.00,1,7844,7844
CS4478,training,2_2011,105.00,1,7824,7824
CS5204,training,2_2011,76.00,1,7824,7824
CS2012,training,2_2011,148.00,2,7833,7843
CS2550,training,2_2011,156.00,2,7814,7840
CS3690,training,2_2011,63.00,1,7805,7805
