customer_id,account_id,date_key,total_amount,num_trans,first_transaction,last_transaction
CS5295,training,1_2013,264.00,4,8412,8481
CS4768,training,1_2015,39.00,1,9204,9204
CS2122,training,1_2013,146.00,2,8404,8457
CS1217,training,4_2011,162.00,2,7989,7995
CS1850,training,4_2013,116.00,2,8697,8724
CS5539,training,1_2014,81.00,1,8850,8850
CS2724,training,1_2012,93.00,1,8071,8071
CS5902,training,1_2015,89.00,1,9160,9160
CS6040,training,1_2013,76.00,1,8408,8408
CS3802,training,3_2013,285.00,4,8591,8632
CS3494,training,3_2013,402.00,5,8583,8671
CS3780,training,1_2013,80.00,1,8484,8484
CS1171,training,4_2012,140.00,3,8318,8342
CS2892,training,2_2013,301.00,5,8521,8554
CS5552,training,4_2014,78.00,1,9128,9128
CS6043,training,1_2014,151.00,2,8780,8801
CS4147,training,3_2013,144.00,2,8589,8659
CS4655,training,4_2013,93.00,1,8764,8764
CS3904,training,3_2014,260.00,3,8966,9028
CS4102,training,3_2011,269.00,3,7859,7918
CS2086,training,1_2013,211.00,3,8402,8464
CS6085,training,1_2013,49.00,1,8409,8409
CS1328,training,1_2013,54.00,1,8437,8437
CS4564,training,1_2012,102.00,2,8106,8121
CS5910,training,4_2012,280.00,3,8035,8381
CS2748,training,1_2013,140.00,3,8453,8484
CS5147,training,2_2013,72.00,1,8519,8519
CS1770,training,4_2012,157.00,2,8341,8378
CS3510,training,4_2011,332.00,5,7956,8013
CS2509,training,4_2011,105.00,1,8008,8008
CS2859,training,1_2015,77.00,1,9188,9188
CS1512,training,1_2015,71.00,1,9182,9182
CS4148,training,3_2013,122.00,2,8627,8634
CS1735,training,4_2012,189.00,3,8125,8339
CS1588,training,1_2012,214.00,4,8047,8076
CS5514,training,1_2013,74.00,2,8409,8461
CS5933,training,4_2013,119.00,2,8680,8728
CS2797,training,1_2014,291.00,3,8811,8831
CS5313,training,4_2012,130.00,2,8330,8371
CS5966,training,1_2012,176.00,4,8103,8119
CS5211,training,2_2014,93.00,2,8902,8903
CS1511,training,1_2015,116.00,2,9143,9155
CS6087,training,4_2014,114.00,3,9093,9130
CS5909,training,1_2012,139.00,2,8069,8073
CS2845,training,1_2013,214.00,3,8410,8467
CS1433,training,4_2012,78.00,1,8344,8344
CS4897,training,2_2014,207.00,3,8867,8877
